lat,long,customer_id,trip_id,week_index,type,ride_count
40.742,-73.944,58,80717600000000.0,85,destination,119
40.742,-73.944,58,80742800000000.0,85,destination,119
40.742,-73.944,58,80768000000000.0,85,destination,119
40.742,-73.944,58,80818400000000.0,85,destination,119
40.742,-73.944,58,80843600000000.0,85,destination,119
40.742,-73.944,58,80868900000000.0,85,destination,119
40.742,-73.944,58,80894100000000.0,85,destination,119
40.742,-73.944,58,80969700000000.0,85,destination,119
40.742,-73.944,58,80994900000000.0,85,destination,119
40.742,-73.944,58,81020100000000.0,85,destination,119
40.742,-73.944,58,81045400000000.0,85,destination,119
40.742,-73.944,58,81146200000000.0,85,destination,119
40.742,-73.944,58,81171400000000.0,85,destination,119
40.742,-73.944,58,81196600000000.0,85,destination,119
40.742,-73.944,58,81221900000000.0,85,destination,119
40.742,-73.944,58,81272300000000.0,85,destination,119
40.742,-73.944,58,81297500000000.0,85,destination,119
40.742,-73.944,58,81347900000000.0,85,destination,119
40.742,-73.944,58,81373200000000.0,85,destination,119
40.742,-73.944,58,81398400000000.0,85,destination,119
40.742,-73.944,58,81448800000000.0,85,destination,119
40.742,-73.944,58,81474000000000.0,85,destination,119
40.742,-73.944,58,81524400000000.0,85,destination,119
40.742,-73.944,58,81549700000000.0,85,destination,119
40.742,-73.944,58,81574900000000.0,85,destination,119
40.742,-73.944,58,81625300000000.0,85,destination,119
40.742,-73.944,58,81650500000000.0,85,destination,119
40.742,-73.944,58,81675700000000.0,85,destination,119
40.742,-73.944,58,81700900000000.0,85,destination,119
40.742,-73.944,58,81726200000000.0,85,destination,119
40.742,-73.944,58,81751400000000.0,85,destination,119
40.742,-73.944,58,81776600000000.0,85,destination,119
40.742,-73.944,58,81827000000000.0,85,destination,119
40.742,-73.944,58,81877400000000.0,85,destination,119
40.742,-73.944,58,81902700000000.0,85,destination,119
40.742,-73.944,58,81927900000000.0,85,destination,119
40.742,-73.944,58,81953100000000.0,85,destination,119
40.742,-73.944,58,82028700000000.0,85,destination,119
40.742,-73.944,58,82079200000000.0,85,destination,119
40.742,-73.944,58,82104400000000.0,85,destination,119
40.742,-73.944,58,82154800000000.0,85,destination,119
40.742,-73.944,58,82180000000000.0,85,destination,119
40.742,-73.944,58,82205200000000.0,85,destination,119
40.742,-73.944,58,82230500000000.0,85,destination,119
40.742,-73.944,58,82306100000000.0,85,destination,119
40.742,-73.944,58,82331300000000.0,85,destination,119
40.742,-73.944,58,82356500000000.0,85,destination,119
40.742,-73.944,58,82407000000000.0,85,destination,119
40.742,-73.944,58,82432200000000.0,85,destination,119
40.742,-73.944,58,82482600000000.0,85,destination,119
40.742,-73.944,58,82533000000000.0,85,destination,119
40.742,-73.944,58,82558300000000.0,85,destination,119
40.742,-73.944,58,82583500000000.0,85,destination,119
40.742,-73.944,58,82608700000000.0,85,destination,119
40.742,-73.944,58,82659100000000.0,85,destination,119
40.742,-73.944,58,82684300000000.0,85,destination,119
40.742,-73.944,58,82810400000000.0,85,destination,119
40.742,-73.944,58,82835600000000.0,85,destination,119
40.742,-73.944,58,82860800000000.0,85,destination,119
40.742,-73.944,58,82886000000000.0,85,destination,119
40.742,-73.944,58,82911300000000.0,85,destination,119
40.742,-73.944,58,82936500000000.0,85,destination,119
40.742,-73.944,58,82961700000000.0,85,destination,119
40.742,-73.944,58,82986900000000.0,85,destination,119
40.742,-73.944,58,83012100000000.0,85,destination,119
40.742,-73.944,58,83037300000000.0,85,destination,119
40.742,-73.944,58,83113000000000.0,85,destination,119
40.742,-73.944,58,83138200000000.0,85,destination,119
40.742,-73.944,58,83163400000000.0,85,destination,119
40.742,-73.944,58,83213800000000.0,85,destination,119
40.742,-73.944,58,83239100000000.0,85,destination,119
40.742,-73.944,58,83264300000000.0,85,destination,119
40.742,-73.944,58,83289500000000.0,85,destination,119
40.742,-73.944,58,83339900000000.0,85,destination,119
40.742,-73.944,58,162959000000000.0,85,destination,119
40.742,-73.944,58,164446000000000.0,85,destination,119
40.65,-73.88,58,114021000000000.0,88,destination,1
40.764,-73.978,59,228438000000000.0,51,destination,33
40.802,-73.936,59,237020000000000.0,52,destination,5
40.764,-73.978,59,2743490000000.0,53,destination,33
40.764,-73.978,59,64063400000000.0,55,destination,33
40.764,-73.978,59,65046800000000.0,55,destination,33
40.764,-73.978,59,132472000000000.0,57,destination,33
40.764,-73.978,59,179800000000000.0,57,destination,33
40.78,-73.964,59,191775000000000.0,57,destination,16
40.802,-73.936,59,175796000000000.0,65,destination,5
40.764,-73.978,59,8840520000000.0,71,destination,33
40.764,-73.976,59,69824300000000.0,73,destination,128
40.764,-73.976,59,71740600000000.0,73,destination,128
40.764,-73.976,59,235222000000000.0,77,destination,128
40.764,-73.978,59,206973000000000.0,77,destination,33
40.764,-73.978,59,209419000000000.0,77,destination,33
40.806,-73.94,59,97391600000000.0,81,destination,39
40.806,-73.94,59,180954000000000.0,81,destination,39
40.764,-73.976,59,276250000000000.0,82,destination,128
40.806,-73.94,59,253725000000000.0,82,destination,39
40.806,-73.94,59,255490000000000.0,82,destination,39
40.806,-73.94,59,260331000000000.0,82,destination,39
40.764,-73.976,59,51014400000000.0,82,destination,128
40.764,-73.976,59,51266600000000.0,82,destination,128
40.764,-73.976,59,54216700000000.0,82,destination,128
40.764,-73.976,59,57545100000000.0,82,destination,128
40.764,-73.976,59,60898700000000.0,82,destination,128
